Response_ID,Choice_Row_Number,Member_Category,Tenure,Activity_Level,Opportunity_Areas,Projects_Involved,Satisfaction_Text,Rate_SaveASoul,Rate_BabaYara,Rate_MDS,Rate_Debate,Rate_EducateChild,Rate_QualityLeadershipValue,Rate_InternationalWomenDay,Rate_WorldDownSyndromeDay,Benefits_Gained,Project_and_Reason_Text,Programs_To_Discontinue,Reason_For_Discontinuation,New_Ideas,New_Projects_Suggested,Improve_Areas,Other_Comments
R014,6,Active member (18 - 40 years),5 years and above,Very active,,Quality Leadership Value (QLV),,,,,,,,,,,,,,,,,
R014,7,Active member (18 - 40 years),5 years and above,Very active,,International Women's Day,,,,,,,,,,,,,,,,,
R014,8,Active member (18 - 40 years),5 years and above,Very active,,World Down Syndrome Day,,,,,,,,,,,,,,,,,
R015,1,Alumni (Above 40),5 years and above,Somewhat active,Business and Entrepreneurship,Baba and Yara,,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,New skills,New skill,World Down Syndrome Day,,Focus on sustainable development,International exchange programme,,
R015,2,Alumni (Above 40),5 years and above,Somewhat active,Community Development,,,,,,,,,,,,,,,,Business Clinic,,
R016,1,Alumni (Above 40),5 years and above,Somewhat active,Individual Development,Save a Soul,Satisfactory,4.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,Networking opportunities,Secondary school debate,,,International collaborations,International exchange programme,As stated above,Remain focused as a chapter
R016,2,Alumni (Above 40),5 years and above,Somewhat active,Business and Entrepreneurship,Membership Development Summit (MDS),,,,,,,,,,Personal growth,,,,Strategic partnerships with other organizations,Economic development,,
R016,3,Alumni (Above 40),5 years and above,Somewhat active,International Opportunity,Baba and Yara,,,,,,,,,,,,,,Research and apply for grants and funding opportunities,Healthcare and wellness,,
R016,4,Alumni (Above 40),5 years and above,Somewhat active,Community Development,Secondary School Debate,,,,,,,,,,,,,,Technology-enabled projects,Digital Skills,,
R016,5,Alumni (Above 40),5 years and above,Somewhat active,,Educate a Child,,,,,,,,,,,,,,Focus on sustainable development,Cultural exchange,,
R016,6,Alumni (Above 40),5 years and above,Somewhat active,,Quality Leadership Value (QLV),,,,,,,,,,,,,,,Business Clinic,,
R017,1,Active member (18 - 40 years),1 - 3 years,Very active,Individual Development,Baba and Yara,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,Networking opportunities,International Women's Day,,,International collaborations,International exchange programme,,
R017,2,Active member (18 - 40 years),1 - 3 years,Very active,International Opportunity,Educate a Child,,,,,,,,,,New skills,,,,Strategic partnerships with other organizations,Digital Skills,,
R017,3,Active member (18 - 40 years),1 - 3 years,Very active,Community Development,Quality Leadership Value (QLV),,,,,,,,,,Personal growth,,,,Research and apply for grants and funding opportunities,Cultural exchange,,
R017,4,Active member (18 - 40 years),1 - 3 years,Very active,,International Women's Day,,,,,,,,,,,,,,Technology-enabled projects,,,
R017,5,Active member (18 - 40 years),1 - 3 years,Very active,,,,,,,,,,,,,,,,Focus on sustainable development,,,
R018,1,Active member (18 - 40 years),3 - 5 years,Very active,Individual Development,Save a Soul,,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,Fulfilment for serving a cause,,,,Strategic partnerships with other organizations,Business Clinic,,
R018,2,Active member (18 - 40 years),3 - 5 years,Very active,International Opportunity,Membership Development Summit (MDS),,,,,,,,,,New skills,,,,,,,
R018,3,Active member (18 - 40 years),3 - 5 years,Very active,,Baba and Yara,,,,,,,,,,Personal growth,,,,,,,
R018,4,Active member (18 - 40 years),3 - 5 years,Very active,,Secondary School Debate,,,,,,,,,,,,,,,,,
R018,5,Active member (18 - 40 years),3 - 5 years,Very active,,Educate a Child,,,,,,,,,,,,,,,,,
R018,6,Active member (18 - 40 years),3 - 5 years,Very active,,Quality Leadership Value (QLV),,,,,,,,,,,,,,,,,
R018,7,Active member (18 - 40 years),3 - 5 years,Very active,,International Women's Day,,,,,,,,,,,,,,,,,
R018,8,Active member (18 - 40 years),3 - 5 years,Very active,,World Down Syndrome Day,,,,,,,,,,,,,,,,,
R019,1,Active member (18 - 40 years),1 - 3 years,Somewhat active,Individual Development,Membership Development Summit (MDS),,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Community engagement,Baba and Yara required I worked with a team and that impacted me in improving my people skills as well as reporting properly,World Down Syndrome Day,"Unless we are channeling our efforts towards schools or campuses where people with Down syndrome are abundant and directly interacting with them by providing every support when necessary, it's one project I feel we should use the resources for another activity.",International collaborations,Economic development,,
R019,2,Active member (18 - 40 years),1 - 3 years,Somewhat active,Community Development,Baba and Yara,,,,,,,,,,Fulfilment for serving a cause,,,,Research and apply for grants and funding opportunities,Digital Skills,,
R019,3,Active member (18 - 40 years),1 - 3 years,Somewhat active,,International Women's Day,,,,,,,,,,Personal growth,,,,Technology-enabled projects,Business Clinic,,
R019,4,Active member (18 - 40 years),1 - 3 years,Somewhat active,,,,,,,,,,,,,,,,Focus on sustainable development,,,
R020,1,Active member (18 - 40 years),5 years and above,Somewhat active,Business and Entrepreneurship,Save a Soul,,5.0,4.0,4.0,5.0,5.0,1.0,5.0,1.0,Fulfilment for serving a cause,"Back to School project revealed the depth of neediness in society, especially the extreme distance the love we show when we contribute to reach out to needy people can travel.",,,Technology-enabled projects,Economic development,I think the Back to School program is far-reaching and shouldn't be discontinued.,
R020,2,Active member (18 - 40 years),5 years and above,Somewhat active,Community Development,Membership Development Summit (MDS),,,,,,,,,,,,,,,Healthcare and wellness,,
R020,3,Active member (18 - 40 years),5 years and above,Somewhat active,,Baba and Yara,,,,,,,,,,,,,,,Digital Skills,,
R020,4,Active member (18 - 40 years),5 years and above,Somewhat active,,Secondary School Debate,,,,,,,,,,,,,,,Business Clinic,,
R020,5,Active member (18 - 40 years),5 years and above,Somewhat active,,Educate a Child,,,,,,,,,,,,,,,,,
R020,6,Active member (18 - 40 years),5 years and above,Somewhat active,,Quality Leadership Value (QLV),,,,,,,,,,,,,,,,,
R020,7,Active member (18 - 40 years),5 years and above,Somewhat active,,International Women's Day,,,,,,,,,,,,,,,,,
R021,1,Active member (18 - 40 years),3 - 5 years,Very active,Individual Development,Save a Soul,,5.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,Networking opportunities,,,,Strategic partnerships with other organizations,International exchange programme,,
R021,2,Active member (18 - 40 years),3 - 5 years,Very active,Business and Entrepreneurship,Membership Development Summit (MDS),,,,,,,,,,Community engagement,,,,Research and apply for grants and funding opportunities,Economic development,,
R021,3,Active member (18 - 40 years),3 - 5 years,Very active,International Opportunity,Baba and Yara,,,,,,,,,,Fulfilment for serving a cause,,,,Focus on sustainable development,Business Clinic,,
R021,4,Active member (18 - 40 years),3 - 5 years,Very active,Community Development,Secondary School Debate,,,,,,,,,,New skills,,,,,,,
R021,5,Active member (18 - 40 years),3 - 5 years,Very active,,Educate a Child,,,,,,,,,,Personal growth,,,,,,,
R021,6,Active member (18 - 40 years),3 - 5 years,Very active,,Quality Leadership Value (QLV),,,,,,,,,,,,,,,,,
R021,7,Active member (18 - 40 years),3 - 5 years,Very active,,International Women's Day,,,,,,,,,,,,,,,,,
R021,8,Active member (18 - 40 years),3 - 5 years,Very active,,World Down Syndrome Day,,,,,,,,,,,,,,,,,
R022,1,Active member (18 - 40 years),1 - 3 years,Somewhat active,Individual Development,Quality Leadership Value (QLV),,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Personal growth,"QLV, just starting but i see the potential.",,,Technology-enabled projects,Healthcare and wellness,"Less WhatsApp group. Use google suite to work on projects and give feedback, AND LESS MEETINGS.",
